纯挚,纯真
描绘,描写
渺小,微小
微小,渺小
细小,渺小
灭亡,消亡
消亡,灭亡
敏锐,灵敏
灵敏,敏锐
明白,清楚
清楚,明白
明确,明白
明白,明确
明显,显明
显明,明显
明显,显著
显著,明显
铭记,铭刻
铭刻,铭记
名誉,声誉
声誉,名誉
声望,名誉
名贵,宝贵
宝贵,名贵
珍贵,名贵
命根子,命脉
命脉,命根子
摸索,探索
探索,摸索
模仿,模拟
模拟,模仿
抹杀,扼杀
扼杀,抹杀
陌生,生疏
生疏,陌生
牟取,攫取
攫取,牟取
夺取,牟取
目标,目的
目的,目标
募捐,捐献
捐献,募捐
耐心,耐烦
耐烦,耐心
恼怒,愤怒
愤怒,恼怒
内行,行家
行家,内行
里手,内行
内耗,内讧
内讧,内耗
内幕,内情
内情,内幕
能力,才能
才能,能力
能人,强人
强人,能人
年纪,年事
年事,年纪
年龄,年纪
年轻,年青
年青,年轻
捏造,假造
假造,捏造
伪造,捏造
凝聚,凝集
凝集,凝聚
凝视,注视
注视,凝视
凝听,聆听
聆听,凝听
忸怩,腼腆
腼腆,忸怩
浓重,浓厚
浓厚,浓重
怒吼,咆哮
咆哮,怒吼
努力,尽力
尽力,努力
讴歌,赞美
赞美,讴歌
偶合,巧合
巧合,偶合
排挤,排斥
排斥,排挤
排除,消除
消除,排除
徘徊,彷徨
彷徨,徘徊
攀登,攀缘
攀缘,攀登
盘算,计算
计算,盘算
盘踞,占据
占据,盘踞
盘点,清点
清点,盘点
叛逃,潜逃
潜逃,叛逃
盼望,希望
希望,盼望
抛弃,摈弃
摈弃,抛弃
遗弃,抛弃
咆哮,呼啸
呼啸,咆哮
培养,培育
培育,培养
培植,培养
陪伴,陪同
陪同,陪伴
佩服,信服
信服,佩服
抨击,鞭挞
鞭挞,抨击
批评,批驳
批驳,批评
批判,批评
批准,同意
同意,批准
疲惫,疲乏
疲乏,疲惫
疲倦,疲惫
僻静,寂静
寂静,僻静
清静,僻静
偏见,成见
成见,偏见
偏向,倾向
倾向,偏向
便宜,廉价
廉价,便宜
片断,片段
片段,片断
骗局,圈套
圈套,骗局
飘扬,飘荡
飘荡,飘扬
招展,飘扬
品德,品格
品格,品德
品质,品德
聘请,聘任
聘任,聘请
聘用,聘请
平常,平凡
平凡,平常
平静,镇静
镇静,平静
平庸,平淡
平淡,平庸
魄力,气魄
气魄,魄力
迫害,危害
危害,迫害
破除,废除
废除,破除
破绽,马脚
马脚,破绽
朴素,朴实
朴实,朴素
期待,等待
等待,期待
欺负,欺侮
欺侮,欺负
欺凌,欺负
欺压,欺负
欺骗,诈骗
诈骗,欺骗
漆黑,黝黑
黝黑,漆黑
旗帜,旗号
旗号,旗帜
奇特,独特
独特,奇特
奇怪,奇异
奇异,奇怪
奇妙,巧妙
巧妙,奇妙
歧视,轻视
轻视,歧视
启发,启示
启示,启发
启迪,启发
企图,妄图
妄图,企图
起源,来源
来源,起源
滥觞,起源
气度,气宇
气宇,气度
气氛,氛围
氛围,气氛
气势,气概
气概,气势
气魄,气势
气味,气息
气息,气味
气象,气候
气候,气象
天气,气象
器重,重视
重视,器重
谦恭,谦和
谦和,谦恭
谦虚,谦逊
谦逊,谦虚
签订,签署
签署,签订
迁就,姑息
姑息,迁就
前途,前程
前程,前途
出路,前途
虔诚,忠诚
忠诚,虔诚
潜藏,躲藏
躲藏,潜藏
浅易,浅近
浅近,浅易
浅显,浅易
浅薄,浅陋
浅陋,浅薄
强大,强盛
强盛,强大
强横,强暴
强暴,强横
强健,强壮
强壮,强健
强制,强迫
强迫,强制
抢救,挽救
挽救,抢救
俏丽,美丽
美丽,俏丽
切磋,商讨
商讨,切磋
亲切,亲热
亲热,亲切
亲信,心腹
心腹,亲信
侵害,损害
损害,侵害
侵犯,侵略
侵略,侵犯
侵占,侵犯
侵犯,侵占
勤恳,勤奋
勤奋,勤恳
勤勉,勤恳
勤俭,节约
节约,勤俭
清除,肃清
肃清,清除
清算,清理
清理,清算
清贫,贫寒
贫寒,清贫
清高,高傲
高傲,清高
清香,幽香
幽香,清香
清新,清爽
清爽,清新
清瘦,清癯
清癯,清瘦
清楚,清晰
清晰,清楚
倾注,倾泻
倾泻,倾注
倾销,推销
推销,倾销
轻浮,轻佻
轻佻,轻浮
轻盈,轻巧
轻巧,轻盈
情愿,宁愿
宁愿,情愿
甘愿,情愿
情感,感情
感情,情感
情况,情形
情形,情况
情绪,情感
情感,情绪
情势,形式
形式,情势
情义,情谊
情谊,情义
情意,情义
请求,要求
要求,请求
庆祝,庆贺
庆贺,庆祝
祝贺,庆祝
屈服,屈从
屈从,屈服
服从,屈服
驱赶,驱逐
驱逐,驱赶
曲折,崎岖
崎岖,曲折
曲解,歪曲
歪曲,曲解
误解,曲解
取消,撤消
撤消,取消
取缔,取消
权利,权力
权力,权利
权威,威望
威望,权威
权势,势力
势力,权势
全部,全体
全体,全部
整个,全部
劝告,奉劝
奉劝,劝告
劝说,劝告
劝导,疏导
疏导,劝导
缺点,缺陷
缺陷,缺点
缺乏,缺少
缺少,缺乏
短缺,缺乏
确定,肯定
肯定,确定
确实,确切
确切,确实
确凿,确实
让步,妥协
妥协,让步
退让,让步
扰乱,捣乱
捣乱,扰乱
热爱,酷爱
酷爱,热爱
热门,热点
热点,热门
热情,热忱
热忱,热情
热心,热情
热烈,热闹
热闹,热烈
仁慈,善良
善良,仁慈
忍耐,忍受
忍受,忍耐
忍让,谦让
谦让,忍让
认为,以为
以为,认为
觉得,认为
任务,义务
义务,任务
融合,融会
融会,融合
交融,融合
融化,熔化
熔化,融化
荣幸,幸运
幸运,荣幸
荣誉,声誉
声誉,荣誉
容许,允许
允许,容许
蹂躏,践踏
践踏,蹂躏
软禁,囚禁
囚禁,软禁
幽禁,软禁
软弱,脆弱
脆弱,软弱
薄弱,软弱
润饰,修饰
修饰,润饰
润色,润饰
撒手,放手
放手,撒手
撒野,撒泼
撒泼,撒野
散布,分布
分布,散布
散播,散布
散步,漫步
漫步,散步
溜达,散步
丧失,损失
损失,丧失
丢失,丧失
骚乱,动乱
动乱,骚乱
扫除,清除
清除,扫除
扫兴,失望
失望,扫兴
色彩,颜色
颜色,色彩
杀害,杀戮
杀戮,杀害
闪耀,闪烁
闪烁,闪耀
擅长,善于
善于,擅长
长于,擅长
商量,磋商
磋商,商量
商议,商讨
商讨,商议
商榷,商议
伤害,损害
损害,伤害
危害,伤害
上当,受骗
受骗,上当
烧毁,销毁
销毁,烧毁
奢侈,奢靡
奢靡,奢侈
设备,装备
装备,设备
深奥,深邃
深邃,深奥
深入,深刻
深刻,深入
申述,申说
申说,申述
申诉,申述
申明,声名
声名,申明
身材,身体
身体,身材
神情,神色
神色,神情
神采,神情
神往,向往
向往,神往
审判,审讯
审讯,审判
慎重,稳重
稳重,慎重
声调,音调
音调,声调
腔调,声调
声援,支援
支援,声援
生僻,冷僻
冷僻,生僻
生动,活泼
活泼,生动
生命,性命
性命,生命
生活,生涯
生涯,生活
牲畜,畜生
畜生,牲畜
牲口,牲畜
失望,绝望
绝望,失望
失职,渎职
渎职,失职
施展,发挥
发挥,施展
实行,实施
实施,实行
实用,适用
适用,实用
时间,时光
时光,时间
光阴,时间
时代,时期
时期,时代
时兴,时髦
时髦,时兴
实验,试验
试验,实验
视察,观察
观察,视察
嗜好,癖好
癖好,嗜好
事迹,业绩
业绩,事迹
逝世,去世
去世,逝世
死,逝世
适当,恰当
恰当,适当
收藏,珍藏
珍藏,收藏
收复,光复
光复,收复
克复,收复
收留,收容
收容,收留
收买,拉拢
拉拢,收买
收拾,整理
整理,收拾
手段,手腕
手腕,手段
手法,手段
守卫,保卫
保卫,守卫
输赢,胜负
胜负,输赢
舒服,舒畅
舒畅,舒服
束缚,约束
约束,束缚
疏散,分散
分散,疏散
熟悉,熟习
熟习,熟悉
熟识,熟悉
衰弱,虚弱
虚弱,衰弱
爽直,爽快
爽快,爽直
思念,怀念
怀念,思念
伺机,乘机
乘机,伺机
苏醒,清醒
清醒,苏醒
随便,随意
随意,随便
损坏,破坏
破坏,损坏
毁坏,损坏
唆使,指示
指示,唆使
谈判,会谈
会谈,谈判
坦率,坦白
坦白,坦率
探听,打听
打听,探听
探问,探听
探询,探听
搪塞,敷衍
敷衍,搪塞
逃亡,流亡
流亡,亡命
亡命,流亡
陶醉,沉醉
沉醉,陶醉
特别,特殊
特殊,特别
特点,特色
特色,特点
特征,特点
特性,特征
腾飞,起飞
起飞,腾飞
提倡,倡导
倡导,提倡
提示,提醒
提醒,提示
提升,晋升
晋升,提升
提拔,选拔
选拔,提拔
体格,体魄
体魄,体格
体谅,谅解
谅解,体谅
甜蜜,甜美
甜美,甜蜜
调解,调停
调停,调处
调处,调解
调剂,调解
调解,调剂
调整,调剂
挑拨,挑唆
挑唆,挑拨
挑衅,挑战
挑战,挑衅
停止,停滞
停滞,停止
挺拔,挺立
挺立,挺拔
通信,通讯
通讯,通信
同学,同窗
同窗,同学
同意,赞成
赞成,同意
偷盗,偷窃
偷窃,偷盗
盗窃,偷盗
头脑,脑筋
脑筋,头脑
脑子,头脑
投奔,投靠
投靠,投奔
透彻,透辟
透辟,透彻
屠杀,屠戮
屠戮,屠杀
杀戮,屠杀
团体,集团
集团,团体
推辞,推脱
推脱,推辞
推卸,推辞
推戴,拥戴
拥戴,推戴
推动,推进
推进,推动
推荐,推举
推举,推荐
推选,推荐
推敲,斟酌
斟酌,推敲
推让,谦让
谦让,推让
推重,推许
推许,推重
推崇,推重
颓废,颓丧
颓丧,颓废
吞没,淹没
淹没,吞没
拖拉,拖沓
拖沓,拖拉
疲塌,拖拉
妥当,妥善
妥善,妥当
妥帖,妥当
挖苦,奚落
奚落,挖苦
弯曲,曲折
曲折,弯曲
完善,完美
完美,完善
完整,完全
完全,完整
惋惜,可惜
可惜,惋惜
婉转,悠扬
悠扬,婉转
忘记,忘却
忘却,忘记
忘怀,忘记
妄想,妄图
妄图,妄想
梦想,妄想
消耗,消费
消除,清除
清除,消除
消散,消失
消失,消散
消失,消逝
消逝,消失
消息,新闻
新闻,消息
小心,当心
当心,小心
效果,后果
后果,效果
效率,效力
效力,效率
笑容,笑颜
笑颜,笑容
笑貌,笑容
笑脸,笑容
协议,协定
协定,协议
协调,调和
调和,协调
泄漏,泄露
泄露,泄漏
透露,泄漏
辛苦,辛劳
辛劳,辛苦
辛勤,辛苦
新鲜,新颖
新颖,新鲜
心肠,心地
心地,心肠
心情,心境
心境,心情
心坎,心田
心田,心坎
内心,心坎
信用,信誉
信誉,信用
信心,信念
信念,信心
信任,信赖
信赖,信任
相信,信任
行动,行为
行为,行动
行径,行动
性格,性情
性情,性格
脾气,性格
兴趣,兴致
兴致,兴趣
凶狠,凶恶
凶恶,凶狠
凶暴,凶狠
凶猛,凶悍
凶悍,凶猛
雄壮,雄浑
雄浑,雄壮
雄健,雄壮
修正,修改
修改,修正
需要,须要
须要,需要
虚伪,虚假
虚假,虚伪
宣传,宣扬
宣扬,宣传
鼓吹,宣传
宣告,宣布
宣布,宣告
削弱,减弱
减弱,削弱
血汗,心血
心血,血汗
巡视,巡查
巡查,巡视
询问,讯问
讯问,询问
驯服,征服
征服,驯服
寻求,追求
追求,寻求
寻衅,挑衅
挑衅,寻衅
迅速,敏捷
敏捷,迅速
压缩,紧缩
紧缩,压缩
收缩,压缩
压抑,压制
压制,压抑
雅观,美观
美观,雅观
严格,严厉
严厉,严格
严峻,严格
严正,严肃
严肃,严正
研究,研讨
研讨,研究
钻研,研究
延伸,延长
延长,延伸
演变,演化
演化,演变
蜕变,演变
掩盖,掩饰
掩饰,掩盖
掩护,保护
保护,掩护
眼光,目光
目光,眼光
眼力,眼光
眼光,眼力
厌烦,腻烦
腻烦,厌烦
养活,赡养
赡养,养活
要挟,威胁
威胁,要挟
要害,关键
关键,要害
依附,依靠
依靠,依附
依赖,依附
遗言,遗嘱
遗嘱,遗言
遗愿,遗言
意见,看法
看法,意见
阴森,阴沉
阴沉,阴森
隐蔽,隐藏
隐藏,隐蔽
隐约,模糊
模糊,隐约
引诱,引导
引导,引诱
诱导,引诱
应当,应该
应该,应当
该当,应当
理当,应当
英灵,英魂
英魂,英灵
英俊,俊秀
俊秀,英俊
英俊,漂亮
漂亮,英俊
英雄,豪杰
豪杰,英雄
英豪,英雄
英勇,勇敢
勇敢,英勇
勇猛,英勇
逢迎,迎合
迎合,逢迎
投合,逢迎
营生,谋生
谋生,营生
营养,养分
养分,营养
硬朗,结实
结实,硬朗
健壮,硬朗
拥护,拥戴
拥戴,拥护
庸俗,俗气
俗气,庸俗
勇敢,大胆
大胆,勇敢
涌现,出现
出现,涌现
用处,用途
用途,用处
用场,用处
优点,长处
长处,优点
优良,优秀
优秀,优良
优异,优良
优越,优胜
优胜,优越
优美,幽美
幽美,优美
幽深,幽邃
幽邃,幽深
悠久,悠长
悠长,悠久
友谊,友情
友情,友谊
友爱,友好
友好,友爱
诱骗,欺骗
欺骗,诱骗
迂腐,陈腐
陈腐,迂腐
愚蠢,愚昧
愚昧,愚蠢
愚笨,愚蠢
预感,预见
预见,预感
预料,预感
预兆,前兆
前兆,预兆
先兆,预兆
圆滑,油滑
油滑,圆滑
世故,圆滑
原谅,谅解
谅解,原谅
援助,支援
支援,援助
赞助,援助
远景,前景
前景,远景
愿望,欲望
欲望,愿望
希望,愿望
约定,商定
商定,约定
允许,许可
许可,允许
蕴藏,储藏
储藏,蕴藏
运动,活动
活动,运动
运用,应用
应用,运用
使用,应用
杂念,邪念
邪念,杂念
灾害,灾祸
灾祸,灾害
灾难,灾害
赞美,赞扬
赞扬,赞赏
赞颂,赞扬
赞赏,赞美
赞成,赞同
赞同,赞成
赞许,赞成
赞助,资助
资助,赞助
帮助,赞助
糟蹋,浪费
浪费,糟蹋
遭遇,遭受
遭受,遭遇
蒙受,遭遇
造就,培养
培养,造就
责备,责怪
责怪,责备
指责,责备
责任,义务
义务,责任
增加,增添
增添,增加
增进,促进
促进,增进
增援,支援
支援,增援
增长,增加
增加,增长
沾染,感染
感染,沾染
传染,沾染
展现,展示
展示,展现
占领,占据
占据,占领
占有,占领
战斗,战役
战役,战斗
战争,战斗
张望,观望
观望,张望
招待,接待
接待,招待
款待,招待
招呼,召唤
召唤,招呼
朝气,生气
生气,朝气
着急,焦急
焦急,着急
照顾,照料
照料,照顾
照应,照顾
照射,照耀
照耀,照射
召唤,呼唤
呼唤,召唤
遮蔽,掩蔽
掩蔽,遮蔽
遮掩,遮蔽
折衷,调和
调和,折衷
珍爱,珍重
珍重,珍爱
珍惜,珍爱
真诚,真挚
真挚,真诚
热诚,真诚
真理,真谛
真谛,真理
侦察,侦查
侦查,侦察
侦探,侦察
震动,震撼
震撼,震动
震荡,震动
镇静,沉着
沉着,镇静
症结,关键
关键,症结
争辩,辩论
辩论,争辩
争论,争辩
争取,争夺
争夺,争取
整理,整顿
整顿,整理
正确,准确
准确,正确
正直,正派
正派,正直
郑重,慎重
慎重,郑重
支撑,支持
支持,支撑
直爽,直率
直率,直爽
指导,指点
指点,指导
指示,指导
制定,制订
制订,制定
制作,制造
制造,制作
忠诚,忠实
忠实,忠诚
忠厚,忠诚
中断,中止
中止,中断
重任,重担
重担,重任
重视,看重
看重,重视
注重,重视
重要,主要
主要,重要
首要,重要
周到,周密
周密,周到
周密,严密
严密,周密
缜密,周密
咒骂,诅咒
诅咒,咒骂
谩骂,咒骂
主动,自动
自动,主动
主意,主张
主张,主意
主见,主意
祝贺,祝愿
祝愿,祝贺
注视,注目
注目,注视
瞩目,注视
著名,有名
有名,著名
知名,著名
闻名,著名
专长,特长
特长,专长
转变,改变
改变,转变
转达,传达
传达,转达
装饰,装潢
装潢,装饰
壮大,强大
强大,壮大
壮丽,绚丽
绚丽,壮丽
壮实,结实
结实,壮实
状态,状况
状况,状态
追随,跟随
跟随,追随
准备,预备
预备,准备
准确,精确
精确,准确
拙劣,低劣
低劣,拙劣
卑劣,拙劣
卓越,卓著
卓著,卓越
着重,侧重
侧重,着重
偏重,着重
姿势,姿态
姿态,姿势
资格,资历
资历,资格
滋生,滋长
滋长,滋生
仔细,细心
细心,仔细
自负,自信
自信,自负
自傲,自负
自满,骄傲
骄傲,自满
自夸,自诩
自诩,自夸
宗旨,主旨
主旨,宗旨
踪影,踪迹
踪迹,踪影
走狗,走卒
走卒,走狗
阻止,阻拦
阻挠,阻拦
阻拦,阻挡
阻挡,阻拦
罪恶,罪行
罪行,罪恶
罪责,罪恶
尊重,尊敬
尊敬,尊重
遵守,遵照
遵照,遵守
遵循,遵守
作怪,作祟
作祟,作怪
作风,风格
风格,作风
旺盛,兴旺
兴旺,旺盛
威信,威望
威望,威信
威胁,威逼
威逼,威胁
微妙,奥妙
奥妙,奇妙
奇妙,奥妙
违背,违反
违反,违背
违抗,违背
为难,难堪
难堪,为难
尴尬,为难
围绕,环绕
环绕,围绕
环抱,围绕
伟人,巨人
巨人,伟人
畏惧,害怕
害怕,畏惧
慰问,慰劳
慰劳,慰问
温和,平和
平和,温和
暖和,温暖
温柔,温顺
温顺,温柔
和顺,温柔
稳固,稳定
稳定,稳固
稳重,庄重
庄重,稳重
持重,稳重
诬陷,诬告
诬告,诬陷
无私,忘我
忘我,无私
无穷,无限
无限,无穷
误会,误解
误解,误会
物质,物资
物资,物质
吸收,接收
接收,吸收
稀疏,稀少
稀少,稀疏
希奇,希罕
希罕,希奇
习性,习惯
习气,习惯
喜报,捷报
捷报,喜报
系统,体系
体系,系统
细长,修长
修长,细长
狭窄,狭小
狭小,狭窄
下流,下贱
下贱,下流
先辈,前辈
前辈,先辈
贤明,英明
英明,贤明
相干,相关
相关,相干
想念,惦念
惦念,想念
响亮,洪亮
洪亮,响亮
嘹亮,响亮
消费,花费
花费,消费
古貌古心,古道热肠
罪有应得,咎由自取
家庭祸变,萧墙之祸
环绕纠缠,缠绕
狗急跳墙,垂死挣扎
邯郸之梦,黄粱一梦
国家栋梁,中流砥柱
虎口余生,死里逃生
河东狮吼,畏妻如虎
过目不忘,过目成诵
光说不做,言而不行
扶携提拔,提携
风卷残云,狼吞虎咽
红杏出墙,不安于室
贵族子弟,王孙公子
冠冕堂皇,堂而皇之
忽冷忽热,乍寒乍热
好景不常,昙花一现
更深人静,夜阑人静
耕市不惊,秋毫无犯
自强不息,发奋图强
回顾回头,回首
哄传一时,一时哄动
荒诞乖张,荒唐
好人难做,善门难开
海角天涯,天涯海角
济困解危,雪中送炭
宽洪大度,央央大度
酒肉朋友,猪朋狗友
自怨自艾,怨天尤人
积厚流光,源远流长
检阅校对,校阅
肌理丰盈,珠圆玉润
见色忘友,重色轻友
检核检束,检点
花花世界,十丈软红
画龙点睛,一语道破
化为乌有,子虚乌有
横征暴敛,苛捐杂税
厚貌深情,外温内厚
桂林一枝,一枝独秀
光说不练,言而不行
毂击肩摩,车水马龙
稽查查察,稽察
剪烛西窗,同窗夜语
过甚其实,名过其实
抵触触犯,冲撞
蜚短流长,闲言闲语
跌荡放诞,跌宕
胆破心惊,心胆俱寒
发生发火,发作
低声密语,交头接耳
登高一呼,振臂一呼
耳提面命,谆谆教诲
独出机杼,别出心裁
颠倒错乱,颠三倒四
夺得冠军,独占鳌头
独身只身,单身
反璞归真,洗净铅华
感触感染,感受
干卿底事,与你何关
负薪救火,扬汤止沸
分毫不爽,一点不错
打扮服装,装束
古里古怪,阴阳怪气
根本治理,正本清源
恩惠膏泽,恩泽
额手称庆,以手加额
规规矩矩,规行矩步
灌注贯注,灌输
奉行故事,遵守习惯
放荡任气,放荡不羁
访古寻幽,探寻胜迹
回天乏术,无法复生
毫无所惧,肆无忌惮
高兴愿意,乐意
贩夫走卒,引车卖浆
倒履相迎,扫径以待
刀锯不辞,死生无惧
后生可畏,少年老成
害人不浅,贻害不浅
耕人之田,为人作嫁
自出机杼,别出心裁
构词惑众,造谣生事
奸通奸骗,奸淫
空费时日,旷日持久
美轮美奂,竹苞松茂
蛮触之争,蜗角之争
兴师动众,调兵遣将
兴致勃勃,兴高采烈
捋臂将拳,摩拳擦掌
偶一为之,逢场作戏
难望项背,瞠乎其后
莲开并蒂,双宿双飞
开门揖盗,引狼入室
礼尚往来,投桃报李
犁庭扫穴,直捣黄龙
移樽就教,移船就础?
怡然自得,悠然自得
命运运限,运气
燎原之火,星火燎原
拘留收禁,扣押
历尽沧桑,饱经风霜
柳眉倒竖,杏眼圆睁
羊质虎皮,绣花枕头
絮絮不休,絮絮叨叨
一蹴而就,一挥而就
难以估计,无法计算
狼狈而逃,抱头鼠窜
徇情枉法,徇私舞弊
沐猴而冠,衣冠禽兽
令人着迷,引人入胜
磨铁成针,水滴石穿
魄散九霄,魂飞天外
名利双收,求名求利
切切私语,喁喁私语
年幼无知,少不更事
平坦大路,康庄大道
绵力薄材,绵力
钳形进攻,左右夹攻
烂醉如泥,玉山颓倒
一刀两断,薪尽火灭
两姓之好,秦晋之好
宽贷豁免,宽免
抛戈弃甲,抱头鼠窜
解民倒悬,拯民水火
力大无穷,孔武有力
街市商人,市井
油头滑脑,油嘴滑舌
见笑于人,贻笑大方
鹿车共挽,夫唱妇随
决议计划,决策
落拓不羁,不拘小节
教授教养,教学
开宗明义,开门见山
截趾适履,削足就履
联系关系,关联
老朽无能,尸居余气
积不相容,势如水火
举措措施,设施
唇红齿白,朱唇皓齿
应机立断,当机立断
截趾适屦,削足就履
稽察查察,稽查
见识浅短,少见多怪
化尽心血,费尽心机
怀璧其罪,象齿焚身
救火投薪,扬汤止沸
空言无补,纸上谈兵
精神萎顿,萎靡不振
积羽沉舟,聚蚊成雷
旅行剧团,巡回剧团
娇羞答答,羞人答答
江中钓月,海底捞针
进步前辈,先进
缘木求鱼,刻舟求剑
疾足先得,捷足先登
兰摧玉折,哲人其萎
血流漂杵,血流成河
绝不屈服,百折不挠
绝路末路,死路
骊歌高唱,阳关三迭
尽收眼底,一览无余
饥肠辘辘,大肠告小肠
可大可小,小大由之
聚会会议,集会
金樽旨酒,玉液琼浆
金石之盟,山盟海誓
汲深绠短,心余力绌
流芳千古,万古长青
空地空闲,空隙
老少无欺,童叟无欺
牢骚满腹,怨气冲天
进步神速,一日千里
立杆见影,吹糠见米
见猎心喜,跃跃欲动
义正辞严,理直气壮
义正词严,理直气壮
口血未干,言犹在耳
混淆视听,混淆黑白
决然毅然,断然
襟怀胸襟,胸怀
凌云壮志,志薄云霄
梨园子弟,戏剧演员
冷暖自知,心里有数
言行相诡,口是心非
言出法随,执法如山
开山祖师,鼻祖
举国同心,万众一心
料事如神,臆则屡中
立竿见影,吹糠见米
狼狈万状,狼狈不堪
风马不接,风马牛不相及
登峰造极,至高无上
出头具名,出面
斗粟囊金,米珠薪贵
跌宕放诞,跌荡
寸男尺女,一男半女
除污去垢,荡瑕涤秽
发上指冠,怒发冲冠
诡辞欺世,妖言惑众
作壁上观,袖手旁观
国色天香,天姿国色
激动慷慨,激昂
脚踏两船,投机取巧
兵多将广,军多将广
剑拔弩张,一触即发
姑息养奸,养虎遗患
火中取栗,为人作嫁
回头是岸,悬崖勒马
气势,威风凛凛
炉火纯青,出神入化
螳臂当车,以卵击石
狗彘不若,猪狗不如
坚持到底,贯彻始终
祸不单行,灾患丛生
正人君子,正派人物
正襟危坐,态度严肃
命途坎坷,偃蹇困穷
清规戒律,金科玉律
罗敷有夫,有夫之妇
节节失利,着着失败
面目可憎,言语无味
芒刺在背,如坐针毡
洁身自爱,守身如玉
孑然一身,形单影只
脑满肠肥,大腹便便
斤斤计较,琐屑较量
不同凡响,与众不同
超群脱俗,逸群绝俗
兵出无名,师出无名
安枕无忧,高枕无忧
安分守纪,循规蹈矩
迷途知反,觉返迷津
量力而行,实事求是
年轻力壮,手轻脚健
乐极生悲,兴尽悲来
不翼而飞,不知去向
谙熟门路,老马识途
片纸只字,一鳞半爪
鸟尽弓藏,兔死狗烹
逆来顺受,唾面自干
明辨是非,是非分明
论功行赏,照功行赏
鼠肚鸡肠,小肚鸡肠
百思不解,大惑不解
不足介意,无足挂齿
傲雪欺霜,坚贞不屈
风烛残年,行将就木
花言巧语,甜言蜜语
轰轰烈烈,大张旗鼓
功效如神,万试万灵
八面受敌,四面楚歌
八怪七喇,稀奇古怪
八百壮士,四行孤军
伏枥守株,乐道安贫
分秒必争,争分夺秒
宁当玉碎,宁死不屈
暗箭伤人,含沙射影
合情合理,通情达理
八方受敌,四面楚歌
奴颜媚骨,卑躬屈膝
迷迷糊糊,模模糊糊
情不自禁,不由自主
斗志昂扬,意气风发
目迷五色,眼花撩乱
齿豁头童,老态龙钟
步步为营,稳扎稳打
全神贯注,聚精会神
破涕为笑,转悲为喜
精神奕奕,神采奕奕
精力充沛,精神抖擞
良莠淆杂,龙蛇混杂
良药苦口,忠言逆耳
乐天知命,安分守己
撤退退却,后退
牛鼎烹鸡,大材小用
程门立雪,尊师重道
不偏不倚,中庸之道
垂头丧气,没精打采
无边无涯,无边无际
纤尘不染,一尘不染
常备不懈,枕戈待旦
马不停蹄,快马加鞭
不乏其人,不胜枚举
百密一疏,鸭蛋虽密也有缝
大马金刀,大刀阔斧
不能自休,欲罢不能
不敢则声,吞声忍气
不合错误,不对
达官贵人,王侯将相
楚楚可怜,我见犹怜
巢木居野,穴居野处
不以为意,漫不经心
不迟不疾,从容不迫
冰天雪地,雪窖冰天
百无禁忌,童言无忌
爱才如命,求贤若渴
才气纵横,天才横溢
不识时变,不识时务
波澜壮阔,汹涌澎湃
鞭辟入里,入木三分
藏身安身,存身
春景春色,春光
不言而喻,不问可知
吹箫吴市,沿门托钵
冰炭不洽,水火不容
垂馨千祀,流芳百世
出阁之喜,于归之喜
仇隙在心,中怀怨恨
尺幅千里,掌上河山
趁波逐浪,随波逐流
代办署理,代理
出言如山,一言九鼎
耳食之言,以讹传讹
弹指之间,转瞬之间
不久不多,未几
不安于位,不守妇道
草木惊心,惊弓之鸟
刺目耀眼,刺眼
春花秋月,月下花前
刀头舔血,刀口上舔血
蟾宫仙子,月里嫦娥
电光石火,稍纵即逝
畅通流畅,流通
赤血丹心,忠肝义胆
分文不取,一钱不受
厚颜无耻,恬不知耻
好事多磨,鲜花易谢
豪侠好义,英雄仗义
吊民伐罪,除暴安良
随心所欲,为所欲为
鬼头鬼脑,鬼鬼祟祟
翠绕珠围,珠光宝气
锄强扶弱,振弱除暴
大权在握,大权独揽
爱才若命,求贤若渴
敲诈勒索,巧取豪夺
踏踏实实,脚踏实地
嫁祸于人,以邻为壑
济困扶危,雪中送炭
丰功伟绩,劳苦功高
半吐半吞,欲言又止
獐头鼠目,蛇头鼠眼
继往开来,承前启后
风驰电掣,追风逐电
合浦还珠,失而复得
寡廉鲜耻,恬不知耻
貌合神离,同床异梦
嫁祸他人,以邻为壑
不免难免,未免
不得善终,天诛地灭
不识一丁,不识之无
不用着急,毋须着急
不断改进,精益求精
鄙俗不堪,俗不可耐
虫鸣水沸,蜩螗沸羹
岔路支路,歧路
不成体统,有失体统
安守故常,安分守己
白费心血,枉费心机
比手划脚,指手画脚
搬弄是非,挑拨离间
布衣之交,微时之交
不辱使命,幸不辱命
软土深掘,得寸进尺
文房四宝,纸墨笔砚
依人篱下,为人作嫁
设法主意,想法
天罗地网,网罗密布
丧心病狂,丧尽天良
上山作贼,落草为寇
死生之契,啮臂之交
秋高气爽,天高气爽
同心专心,一心
徒托空言,托之空言
上行下效,言传身教
忍辱含垢,含垢忍辱
携手合作,通力进行
送往迎来,送旧迎新
前途难料,未定之天
破碎摧毁,粉碎
明白昭彰,彰明较着
难兄难弟,一丘之貉
私刑逼供,屈打成招
难听逆耳,刺耳
恰如私愿,正中下怀
市井之徒,屠狗之辈
弃旧容新,吐故纳新
塞翁失马,因祸得福
全无所闻,一无所知
润泽津润,滋润
无所作为,碌碌无为
伤风败俗,有伤风化
冒名行骗,招摇撞骗
